id_frame;id_object;x_coord;y_coord;width;height;obj_class;obj_proba(%)
89;7;689;221;102;33;car;55.0
90;0;378;526;130;194;person;76.0
90;1;449;234;33;70;person;68.0
90;2;545;235;29;61;person;64.0
90;3;553;232;26;59;person;58.0
90;4;423;245;25;53;person;56.0
90;5;632;249;224;146;car;60.0
90;6;628;220;72;36;car;56.0
90;7;691;221;99;33;car;55.0
91;0;372;524;127;196;person;77.0
91;1;449;235;33;69;person;68.0
91;2;543;236;30;62;person;65.0
91;3;553;233;27;59;person;57.0
91;4;423;246;25;52;person;56.0
91;5;632;250;224;145;car;60.0
91;6;627;220;74;37;car;57.0
91;7;692;221;97;33;car;55.0
92;0;375;524;122;196;person;77.0
92;1;450;235;32;69;person;68.0
92;2;544;235;29;63;person;68.0
92;3;556;232;26;60;person;60.0
92;4;425;245;24;53;person;56.0
92;5;630;249;226;146;car;61.0
92;6;628;221;70;35;car;58.0
92;7;697;222;88;32;car;58.0
93;0;374;522;121;198;person;76.0
93;1;450;235;32;69;person;68.0
93;2;544;234;29;64;person;67.0
93;3;555;232;26;59;person;60.0
93;4;425;244;24;54;person;55.0
93;5;630;249;227;146;car;60.0
93;6;627;221;71;36;car;58.0
93;7;696;221;90;33;car;57.0
94;0;374;520;120;200;person;74.0
94;1;449;235;33;70;person;68.0
94;2;544;234;29;64;person;67.0
94;3;555;231;26;60;person;60.0
94;4;424;244;25;54;person;55.0
94;5;629;249;228;146;car;61.0
94;6;627;221;71;36;car;58.0
94;7;695;221;92;33;car;57.0
95;0;368;521;127;199;person;75.0
95;1;450;235;32;69;person;68.0
95;2;544;235;29;61;person;66.0
95;3;557;231;24;59;person;59.0
95;4;424;245;25;54;person;56.0
95;5;630;249;227;146;car;60.0
95;6;627;221;70;36;car;57.0
95;7;699;222;85;32;car;56.0
96;0;367;520;116;200;person;74.0
96;1;448;233;33;71;person;68.0
96;2;544;235;29;62;person;63.0
96;3;423;245;25;53;person;55.0
96;4;629;248;228;147;car;61.0
96;5;627;221;72;36;car;57.0
96;6;695;221;92;33;car;55.0
97;0;368;519;106;201;person;75.0
97;1;448;234;33;70;person;67.0
97;2;544;235;29;62;person;61.0
97;3;629;247;228;148;car;61.0
97;4;626;221;74;36;car;57.0
98;0;361;519;103;201;person;74.0
98;1;448;235;33;68;person;67.0
98;2;543;235;29;61;person;62.0
98;3;423;245;26;54;person;56.0
98;4;629;248;228;147;car;61.0
98;5;626;221;73;36;car;58.0
98;6;694;222;92;32;car;55.0
99;0;357;519;100;199;person;69.0
99;1;448;234;33;70;person;67.0
99;2;543;233;29;61;person;60.0
99;3;423;246;26;52;person;55.0
99;4;628;247;229;148;car;62.0
99;5;625;221;75;36;car;57.0
100;0;448;234;33;69;person;68.0
100;1;353;518;101;202;person;67.0
100;2;542;233;29;62;person;62.0
100;3;424;244;25;54;person;55.0
100;4;628;247;229;148;car;61.0
101;0;448;233;34;70;person;69.0
101;1;541;233;29;61;person;62.0
101;2;351;515;99;205;person;62.0
101;3;628;247;229;148;car;62.0
101;4;417;637;160;67;wine glass;58.0
102;0;448;233;34;70;person;68.0
102;1;541;233;30;62;person;63.0
102;2;342;507;108;211;person;61.0
102;3;628;247;229;148;car;62.0
102;4;414;637;164;67;wine glass;61.0
103;0;449;233;33;70;person;68.0
103;1;541;234;30;62;person;63.0
103;2;339;503;103;214;person;62.0
103;3;628;248;229;147;car;61.0
103;4;625;220;73;37;car;56.0
103;5;412;637;167;68;wine glass;61.0
104;0;450;233;32;70;person;68.0
104;1;541;234;30;64;person;64.0
104;2;334;504;99;204;person;61.0
104;3;628;248;230;148;car;62.0
104;4;625;220;73;38;car;57.0
104;5;405;637;176;69;wine glass;64.0
105;0;319;503;105;208;person;71.0
105;1;449;233;33;70;person;67.0
105;2;541;235;30;63;person;64.0
105;3;629;248;228;147;car;61.0
105;4;626;220;73;37;car;57.0
105;5;402;637;181;69;wine glass;66.0
106;0;314;501;108;211;person;72.0
106;1;450;233;32;70;person;67.0
106;2;541;234;29;64;person;65.0
106;3;630;249;227;146;car;60.0
106;4;626;221;73;36;car;58.0
106;5;398;638;182;70;wine glass;64.0
107;0;314;497;98;213;person;68.0
107;1;450;233;32;70;person;67.0
107;2;541;235;29;63;person;66.0
107;3;561;233;25;56;person;56.0
107;4;629;250;228;145;car;61.0
107;5;626;221;73;36;car;58.0
107;6;704;220;79;32;car;55.0
107;7;388;639;183;69;wine glass;60.0
108;0;310;491;102;223;person;70.0
108;1;450;233;32;70;person;67.0
108;2;540;236;29;62;person;65.0
108;3;630;250;227;145;car;60.0
108;4;626;221;73;36;car;58.0
108;5;386;639;186;69;wine glass;56.0
109;0;308;489;98;226;person;71.0
109;1;450;233;32;70;person;67.0
109;2;541;235;29;63;person;67.0
109;3;561;233;25;56;person;56.0
109;4;630;250;228;145;car;61.0
109;5;626;221;73;36;car;59.0
109;6;701;220;83;32;car;57.0
110;0;305;492;100;222;person;70.0
110;1;542;234;29;63;person;67.0
110;2;450;234;32;69;person;66.0
110;3;560;233;25;56;person;56.0
110;4;630;250;228;145;car;61.0
110;5;627;220;73;37;car;59.0
110;6;700;220;86;33;car;58.0
111;0;302;489;100;225;person;72.0
111;1;542;233;30;64;person;67.0
111;2;450;233;32;70;person;66.0
111;3;560;233;25;55;person;56.0
111;4;629;250;229;145;car;61.0
111;5;627;221;72;36;car;58.0
111;6;700;220;86;32;car;58.0
112;0;299;491;102;222;person;70.0
112;1;542;233;29;63;person;67.0
112;2;450;233;32;70;person;66.0
112;3;561;233;24;55;person;56.0
112;4;629;250;229;145;car;62.0
112;5;627;221;73;36;car;58.0
112;6;700;220;86;33;car;57.0
113;0;294;490;103;224;person;75.0
113;1;542;233;29;63;person;67.0
113;2;450;232;32;71;person;66.0
113;3;560;232;25;57;person;56.0
113;4;629;251;229;144;car;63.0
113;5;628;221;71;36;car;59.0
113;6;701;220;83;33;car;59.0
114;0;287;492;108;220;person;75.0
114;1;542;234;29;63;person;67.0
114;2;450;232;32;71;person;66.0
114;3;560;232;25;58;person;56.0
114;4;628;250;231;145;car;63.0
114;5;698;220;89;34;car;58.0
114;6;628;221;72;36;car;58.0
115;0;287;490;106;225;person;72.0
115;1;450;233;31;70;person;66.0
115;2;542;234;29;63;person;66.0
115;3;562;233;24;56;person;55.0
115;4;628;249;231;146;car;63.0
115;5;627;221;74;36;car;58.0
115;6;697;219;91;35;car;57.0
116;0;276;492;113;222;person;71.0
116;1;449;232;32;71;person;67.0
116;2;541;234;29;64;person;65.0
116;3;628;249;230;145;car;63.0
116;4;627;220;75;38;car;58.0
116;5;695;219;94;35;car;57.0
117;0;276;492;113;222;person;71.0
117;1;449;232;32;71;person;67.0
117;2;541;235;29;64;person;65.0
117;3;628;249;230;145;car;63.0
117;4;627;220;75;38;car;58.0
117;5;696;219;93;35;car;57.0
118;0;265;492;119;221;person;70.0
118;1;449;232;32;71;person;66.0
118;2;541;234;29;65;person;65.0
118;3;628;249;230;146;car;63.0
118;4;627;220;76;37;car;58.0
118;5;692;219;99;36;car;58.0
119;0;249;489;118;220;person;72.0
119;1;449;232;32;71;person;67.0
119;2;541;235;28;64;person;64.0
119;3;628;248;232;147;car;62.0
119;4;689;219;104;36;car;58.0
119;5;627;220;76;37;car;58.0
120;0;256;486;108;226;person;74.0
120;1;449;231;33;73;person;67.0
120;2;541;235;28;65;person;65.0
120;3;627;248;232;147;car;64.0
120;4;627;220;75;38;car;58.0
120;5;694;219;96;36;car;57.0
121;0;249;483;112;229;person;78.0
121;1;449;232;32;71;person;67.0
121;2;541;235;28;64;person;65.0
121;3;560;232;24;59;person;55.0
121;4;627;248;231;147;car;66.0
121;5;696;219;92;37;car;59.0
121;6;627;221;73;37;car;58.0
122;0;240;478;115;234;person;79.0
122;1;449;232;32;71;person;67.0
122;2;541;235;28;63;person;64.0
122;3;627;247;234;148;car;65.0
122;4;693;218;98;38;car;59.0
122;5;626;220;76;38;car;58.0
123;0;220;470;124;241;person;78.0
123;1;448;232;33;71;person;66.0
123;2;541;235;28;62;person;63.0
123;3;628;248;231;147;car;63.0
123;4;688;218;105;38;car;58.0
123;5;626;220;78;38;car;56.0
124;0;226;468;117;241;person;76.0
124;1;448;232;33;71;person;66.0
124;2;541;235;28;61;person;62.0
124;3;628;247;230;149;car;62.0
124;4;683;218;112;38;car;58.0
124;5;626;220;79;38;car;56.0
125;0;237;467;102;246;person;73.0
125;1;448;232;33;71;person;66.0
125;2;541;234;28;62;person;63.0
125;3;627;248;231;148;car;64.0
125;4;687;218;106;37;car;59.0
125;5;627;220;76;38;car;58.0
126;0;238;470;99;243;person;72.0
126;1;448;232;33;71;person;66.0
126;2;541;231;28;65;person;62.0
126;3;628;247;229;148;car;61.0
126;4;686;218;107;38;car;59.0
126;5;626;220;77;38;car;57.0
127;0;232;465;101;245;person;73.0
127;1;448;232;33;71;person;66.0
127;2;540;230;29;66;person;62.0
127;3;628;247;229;148;car;61.0
127;4;689;218;103;37;car;59.0
127;5;627;220;75;38;car;57.0
128;0;223;467;108;242;person;69.0
128;1;447;231;34;72;person;66.0
128;2;541;230;29;66;person;63.0
128;3;628;247;229;147;car;64.0
128;4;689;219;103;36;car;59.0
128;5;627;220;75;38;car;57.0
129;0;214;466;114;242;person;67.0
129;1;448;231;33;73;person;67.0
129;2;541;230;29;67;person;63.0
129;3;628;247;230;147;car;64.0
129;4;690;218;102;37;car;60.0
129;5;626;220;76;38;car;57.0
130;0;448;231;33;72;person;67.0
130;1;541;230;29;67;person;64.0
130;2;211;462;118;244;person;63.0
130;3;627;247;232;147;car;65.0
130;4;692;219;99;36;car;60.0
130;5;626;220;75;38;car;58.0
131;0;448;231;33;73;person;68.0
131;1;210;462;117;243;person;65.0
131;2;542;231;28;65;person;64.0
131;3;566;230;26;62;person;55.0
131;4;623;247;236;148;car;66.0
131;5;697;220;92;35;car;60.0
131;6;626;221;73;37;car;59.0
132;0;448;231;33;73;person;67.0
132;1;204;460;125;244;person;65.0
132;2;541;232;28;63;person;62.0
132;3;627;247;233;148;car;65.0
132;4;694;219;96;36;car;60.0
132;5;626;220;76;37;car;58.0
133;0;448;231;33;73;person;67.0
133;1;541;233;28;61;person;62.0
133;2;207;469;118;208;person;62.0
133;3;626;247;234;148;car;65.0
133;4;694;219;97;36;car;60.0
133;5;625;220;77;38;car;58.0
134;0;449;231;34;73;person;68.0
134;1;543;234;28;63;person;66.0
134;2;207;469;118;199;person;62.0
134;3;558;233;25;58;person;56.0
134;4;627;247;233;148;car;65.0
