id_frame;id_object;x_coord;y_coord;width;height;obj_class;obj_proba(%)
190;0;67;405;66;193;web_site;15
192;0;64;404;63;191;can_opener;23
195;0;60;403;59;184;joystick;11
196;0;58;403;59;184;can_opener;21
197;0;55;403;60;181;can_opener;13
197;1;764;221;35;38;thresher;59
198;0;55;403;57;190;platypus;10
199;0;54;403;56;188;can_opener;24
200;0;53;399;57;194;platypus;18
201;0;52;397;57;197;drake;30
202;0;51;395;56;160;joystick;32
203;0;49;393;58;201;drake;49
204;0;48;392;58;202;drake;27
205;0;47;391;56;202;drake;71
206;0;46;389;55;201;drake;49
207;0;44;390;57;197;black_grouse;50
208;0;44;390;55;196;black_grouse;35
209;0;42;390;57;190;can_opener;11
210;0;42;390;55;186;black_grouse;10
211;0;57;483;28;43;milk_can;12
212;0;38;390;57;178;can_opener;17
213;0;37;389;57;176;can_opener;51
213;1;55;475;27;48;milk_can;19
214;0;36;389;59;174;can_opener;49
215;0;34;389;61;181;can_opener;44
217;0;32;388;61;177;can_opener;82
218;0;30;388;63;177;can_opener;70
219;0;28;386;67;192;can_opener;47
220;0;25;385;69;193;can_opener;33
221;0;23;383;69;193;can_opener;44
222;0;21;382;70;193;can_opener;18
223;0;19;380;64;190;can_opener;43
224;0;14;380;64;185;can_opener;24
225;0;14;379;61;185;dumbbell;27
226;0;14;379;56;182;can_opener;18
227;0;13;379;53;179;knee_pad;14
228;0;11;378;54;174;knee_pad;14
229;0;10;378;53;170;can_opener;37
230;0;6;377;56;169;can_opener;44
231;0;6;378;55;166;can_opener;31
232;0;5;379;54;163;can_opener;33
233;0;3;379;55;161;can_opener;19
234;0;1;377;56;173;joystick;16
235;0;0;377;58;182;joystick;25
236;0;0;375;59;186;joystick;24
237;0;0;373;57;186;joystick;16
238;0;0;372;56;186;drake;21
239;0;0;371;54;185;drake;20
240;0;0;370;51;184;black_grouse;21
242;0;0;368;49;184;joystick;32
243;0;0;368;45;181;joystick;23
244;0;0;367;44;178;can_opener;18
245;0;0;367;43;177;carpenter's_kit;13
246;0;0;368;41;173;spatula;19
247;0;0;366;40;171;can_opener;26
248;0;0;367;37;164;plate_rack;16
249;0;0;367;36;162;can_opener;13
250;0;0;366;38;165;hair_slide;20
251;0;0;367;35;160;modem;12
252;0;0;366;37;163;modem;11
253;0;0;368;38;173;binder;19
254;0;0;367;37;173;binder;17
